hcat3_code,hcat3_name,ec_code,ec_name,hrl_code,hrl_name
3301061208,black_cumin,240.0,"Dry pulses, vegetables and flowers",1210,Fresh Vegetables
3301061209,borage,240.0,"Dry pulses, vegetables and flowers",1210,Fresh Vegetables
3301061210,calendula_marigold,240.0,"Dry pulses, vegetables and flowers",1210,Fresh Vegetables
3301061211,caraway,240.0,"Dry pulses, vegetables and flowers",1210,Fresh Vegetables
3301061212,catnip,240.0,"Dry pulses, vegetables and flowers",1210,Fresh Vegetables
3301061213,chamomile,240.0,"Dry pulses, vegetables and flowers",1210,Fresh Vegetables
3301061214,chervil,240.0,"Dry pulses, vegetables and flowers",1210,Fresh Vegetables
3301061215,coriander,240.0,"Dry pulses, vegetables and flowers",1210,Fresh Vegetables
3301061216,ericaceae_heather,240.0,"Dry pulses, vegetables and flowers",1210,Fresh Vegetables
3301061217,galium_bedstraw,240.0,"Dry pulses, vegetables and flowers",1210,Fresh Vegetables
3301061218,hibiscus,240.0,"Dry pulses, vegetables and flowers",1210,Fresh Vegetables
3301061219,lavender_lavandula,240.0,"Dry pulses, vegetables and flowers",1210,Fresh Vegetables
3301061220,lemon_balm_melissa,240.0,"Dry pulses, vegetables and flowers",1210,Fresh Vegetables
3301061221,lovage_maggiplant,240.0,"Dry pulses, vegetables and flowers",1210,Fresh Vegetables
3301061222,mints_peppermint,240.0,"Dry pulses, vegetables and flowers",1210,Fresh Vegetables
3301061223,moldavian_dragonhead,240.0,"Dry pulses, vegetables and flowers",1210,Fresh Vegetables
3301061224,nasturtiums,240.0,"Dry pulses, vegetables and flowers",1210,Fresh Vegetables
3301061225,nettles,240.0,"Dry pulses, vegetables and flowers",1210,Fresh Vegetables
3301061226,oregano,240.0,"Dry pulses, vegetables and flowers",1210,Fresh Vegetables
3301061227,parsly,240.0,"Dry pulses, vegetables and flowers",1210,Fresh Vegetables
3301061228,piper_pepper,240.0,"Dry pulses, vegetables and flowers",1210,Fresh Vegetables
3301061229,polygonum,240.0,"Dry pulses, vegetables and flowers",1210,Fresh Vegetables
3301061230,rosemary,240.0,"Dry pulses, vegetables and flowers",1210,Fresh Vegetables
